"","CVE_INEGI","state_code","mun_code","year","CORR_COUNT","INFRA_COUNT","state","sujeto","internal_audit","state_gov_audit","otro_state","ASE","ASF","SFP","otro_fed","otro","state_abbrv","reform_ley_anticorr","man_1.1","man_1.2","man_1.3","man_1.4","pol_2.1","pol_2.10","pol_2.2","pol_2.3","pol_2.4","pol_2.5","pol_2.6","pol_2.7","pol_2.8","pol_2.9","str_3.1","str_3.2","str_3.3","fin_4.1","leg_5.1","leg_5.2","int_6.1","int_6.2","int_6.3","int_6.4","int_6.5","int_6.6","int_6.7","reform_year_imco","ASE_binary","internal_audit_binary","ASF_binary","CORR_binary","INFRA_binary","total_muns","total_muns_subj","ID_ENTIDAD","pob_mun","idh","pea","indice_marginacion","impuestos_muni","egresos_muni","lag_impuestos_muni","lag_egresos_muni"
"31","20172",20,172,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,430,0.7689,110,-0.1812,1665,1408479,4188,1445470
"32","26046",26,46,2010,0,0,"Sonora","subject",0,0,0,2,0,0,0,0,"SON",2017,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,72,70,26,443,0.8579,168,-1.0596,100088,5985139,72951,5348877
"33","20373",20,373,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,448,0.7576,193,0.8706,470,2242261.5,470,2271433
"34","20443",20,443,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,448,0.7992,200,-0.5326,8859,2756127,10474,1576180
"35","20223",20,223,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,452,0.765,129,0.3256,14255,2354228,3549,2418352
"36","20311",20,311,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,458,0.7013,92,0.7728,1183,3242029,1183,2696163
"37","20138",20,138,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,460,0.7523,173,0.4029,8676,1846413,5196,1712374
"38","20444",20,444,2010,0,0,"Oaxaca","subject",0,0,0,0,1,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,570,89,20,461,0.7092,82,1.5007,1365,3867108,1365,2761818
"39","20099",20,99,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,475,0.6559,49,1.1126,9133,4091060,5464,3040157
"40","20408",20,408,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,480,0.7245,218,0.4054,16560,2535200,15288,2762478
"41","20464",20,464,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,480,0.7574,169,0.5615,12001,2282665.66666667,14861,2295543.33333333
"42","21095",21,95,2010,0,0,"Puebla","unknown",0,0,0,0,0,0,0,0,"PUE",2016,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,217,110,21,484,0.7711,131,0.0124,10263,3643089,10263,3643089
"43","26054",26,54,2010,0,0,"Sonora","subject",2,0,1,0,0,0,0,0,"SON",2017,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,72,70,26,492,0.7965,224,-0.7808,27184,7518046,15031,5650780
"44","20536",20,536,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,493,0.7755,196,0.1841,13724,3372760,12581,2454785
"45","20471",20,471,2010,0,0,"Oaxaca","unknown",0,0,0,0,0,0,0,0,"OAX",2017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,570,89,20,496,0.7699,154,0.6878,6885,2627836,12595,2727721
