"","ID_ENTIDAD","year","m_total_egresos","m_poblacion","m_legislativo","m_pres_poder_leg","m_ase_budget","m_por_efs","ase_budget_perc","ase_growth"
"72",7,2014,25.2991455615092,15.4513259846955,483391037.000006,393194035.429309,176412857.4621,0.403020209147842,0.364948548812455,0.0654087187799577
"73",7,2015,25.1984535244889,15.467607113247,481637461.999991,409713258.878055,95822096.153861,0.315916082253663,0.198950670813606,-0.456830428731947
"74",7,2016,25.2241238602737,15.4866002868227,450225209.999985,439003782.799994,148015931.399997,0.337163226,0.328759758699434,0.544695193917786
"75",7,2017,25.3213997169926,15.4985859611359,505530366.999983,427461060.100003,136473208.799994,0.319264657,0.269960456796849,-0.0779829744732683
"76",7,2018,25.343999335688,15.5102510554009,525227364.999974,456372244.699989,172492474.899995,0.377964429,0.328414866388394,0.263929209379024
"77",7,2019,25.2947484116547,15.5467291935322,507696566.999991,501423126.899983,215068993.400005,0.42891718,0.423617190620098,0.246831164807012
"78",8,2009,24.4044243827604,15.0314497190029,320976855.999997,287288294.248846,50813868.8070267,0.266099467428076,0.1583100708265,NA
"79",8,2010,24.4240753322556,15.0411856546678,330368254.00001,292325459.452599,47005678.8232711,0.218920085581939,0.142282674724762,-0.074943909471208
"80",8,2011,24.527679774684,15.049960228419,326496244.999991,320129445.837516,69455713.0427057,0.247069264023714,0.212730511013098,0.477602595717017
"81",8,2012,24.6710809619972,15.0586584782501,341121714.999984,335053166.372757,72240922.8725375,0.252640633088535,0.21177462382464,0.0401005145267069
"82",8,2013,24.9289204413321,15.067281720497,390915359.000014,372358221.120479,113572872.704552,0.30729204120701,0.290530597199043,0.572140390633455
"83",8,2014,24.8698078838544,15.0758312377326,428302080.000015,378898777.886055,103009510.249349,0.309157343974458,0.240506677551848,-0.0930095559234701
"84",8,2015,24.921949183862,15.0843082799124,435271163,454579846.878258,122940382.764749,0.277269019626081,0.282445503436093,0.193485751627728
"85",8,2016,24.8335679874603,15.1362742747551,439900040,477461247.00001,126965508.999994,0.265917935,0.288623545021715,0.0327404726154784
"86",8,2017,24.8169650492083,15.1457682460636,420688894.000022,526214963.999975,187793963.999993,0.356876898,0.446396295881259,0.479094326318195
"87",8,2018,25.0021610695722,15.154940059688,435659746.00002,501399605.000009,139532111,0.278285243,0.320277721963308,-0.256993632660075
"88",8,2019,24.9674757659749,15.1413447368718,453577610.224755,586082785.99998,153207923.000002,0.261410037,0.337776644054554,0.0980119336114865
"89",9,2009,25.5077906193178,15.9931045092113,1462843500.00001,1399252208.62087,256537508.665949,0.219574770964816,0.17536907308673,NA
"90",9,2010,25.5949562256685,15.9960500434369,1349910461.00006,1261535078.01496,270150770.548218,0.203437989788566,0.200124955212274,0.0530653858496592
"91",9,2011,25.6681349759597,15.9975757660443,1577530386.99993,1335802038.25233,188772346.200157,0.180512342816301,0.119663207603345,-0.301233360108207
"92",9,2012,25.706907526533,15.9990991643681,1886755764.99994,1797975958.95702,251732971.595956,0.179058077740388,0.133421069258513,0.333526740876764
"93",9,2013,25.7812081094865,16.0006202454789,1472274249.99995,1618620978.02427,241555732.63745,0.110818094904873,0.16406979381556,-0.0404287086192311
"94",9,2014,25.9050816945818,16.0021390164156,2178306842.99995,1825474311.8175,286172168.465592,0.162899856765119,0.131373671888887,0.184704520737279
"95",9,2015,25.9982427807332,16.0036554841846,2590798256.99989,2034756510.78152,530793575.057513,0.238027566326167,0.204876459841441,0.854805021409108
"96",9,2016,26.0743876007196,15.9940523863198,2638403718.99995,2413051190.99997,592593362.999989,0.245578447,0.224602989577578,0.116429042939677
"97",9,2017,26.1107451264432,15.9915417393404,2844626092.99999,2568330299.99995,665263191.999998,0.259025559,0.233866656021003,0.122630177010623
"98",9,2018,26.1742915157524,15.9889137139517,3091243667.00002,3111149065.00009,745094774.999984,0.239491827,0.241033983491532,0.119999999939853
"99",9,2019,26.1641261693192,16.0161972463828,2284149065.00005,2284149065.00005,518094775.000015,0.226821788,0.226821788007957,-0.30465922942484
"100",10,2009,23.8098000985709,14.2906078176208,154353214.000006,135328704.317465,40196358.2831285,0.347994018971419,0.260418019433836,NA
"101",10,2010,23.7287676520914,14.3058889547243,171446289.000008,156487621.595715,29702138.3918024,0.253330213354927,0.173244568692887,-0.261073896729862
"102",10,2011,23.8322731277602,14.3206991233288,191328847.999992,175897221.586903,23141747.4413342,0.187345034589631,0.120952734954716,-0.22087268141875
"103",10,2012,23.8543986901621,14.3352931480731,263848709.000002,219146909.202386,30895107.4783965,0.270797251714796,0.117094025570526,0.335037795080838
"104",10,2013,23.9893038916749,14.3496772472459,206317445.999992,223010844.290416,42537318.3822862,0.263846697890617,0.206174122484475,0.376830244466074
"105",10,2014,24.1148609830502,14.3638573745937,202741948.000008,207577071.146213,39101410.768235,0.238189681511699,0.192862952901259,-0.0807739590721828
"106",10,2015,24.2487227442764,14.3778392341171,210513843.999991,226700104.46591,51449671.0886209,0.266320965381229,0.244400416196016,0.315800889987766
"107",10,2016,24.2052511172353,14.3933620032824,236600155.999999,214554652.999993,38164653.0000007,0.177878468,0.16130442872574,-0.258213858466404
"108",10,2017,24.3829690346748,14.4029192336597,308282385.000008,275282384.999998,42677884.9999987,0.155033113,0.138437637298017,0.118256859298522
"109",10,2018,24.3364687608277,14.4121281155011,297590469.999998,236003270.000001,44562199.9999993,0.188820265,0.149743370478227,0.0441520239346588
"110",10,2019,24.3277255444754,14.4322906009924,335650592.00001,258402421.000006,48044685.0000003,0.185929701,0.143138984840518,0.0781488571031295
"111",11,2009,24.59458550546,15.4959398768167,328851581.99999,315279204.067784,56497656.4172608,0.278585654513097,0.171802902919477,NA
"112",11,2010,24.6040993987241,15.517777757149,327973199.000003,327229554.826039,80729872.5271692,0.308829893958998,0.24614777296839,0.428906571468071
