"","ID_ENTIDAD","year","m_total_egresos","m_poblacion","m_legislativo","m_pres_poder_leg","m_ase_budget","m_por_efs","ase_budget_leg_perc","ase_budget_sta_perc","ase_budget_pc","ase_growth","ase_pct_change","ase_growth_pc"
"81",8,2012,51822018423.9982,3466508.59999997,341121714.999984,335053166.372757,72240922.8725375,0.252640633088535,0.21177462382464,0.00139401986008101,20.8396779608561,0.0401005145267069,4.0100514526707,0.0310926933353786
"82",8,2013,67064484005.9966,3496530.40000015,390915359.000014,372358221.120479,113572872.704552,0.30729204120701,0.290530597199043,0.00169348760954304,32.4815916671417,0.572140390633455,57.2140390633455,0.558641727964941
"83",8,2014,63215027317.9969,3526552.19999985,428302080.000015,378898777.886055,103009510.249349,0.309157343974458,0.240506677551848,0.00162950985896392,29.2096938900702,-0.0930095559234701,-9.30095559234702,-0.100730832731368
"84",8,2015,66598586055.0013,3556574.00000003,435271163,454579846.878258,122940382.764749,0.277269019626081,0.282445503436093,0.00184599088429921,34.5670813442227,0.193485751627728,19.3485751627728,0.183411283744187
"85",8,2016,60965135433.9991,3746281.38300001,439900040,477461247.00001,126965508.999994,0.265917935,0.288623545021715,0.00208259209294216,33.8910765155395,0.0327404726154784,3.27404726154785,-0.0195563178143827
"86",8,2017,59961291493.9971,3782017.84300018,420688894.000022,526214963.999975,187793963.999993,0.356876898,0.446396295881259,0.00313191993235826,49.6544362813003,0.479094326318195,47.9094326318195,0.465118296213845
"87",8,2018,72160675195.0005,3816865.36900011,435659746.00002,501399605.000009,139532111,0.278285243,0.320277721963308,0.00193363089553889,36.5567284959156,-0.256993632660075,-25.6993632660075,-0.263777192256983
"88",8,2019,69700669908.18,3765325.00000001,453577610.224755,586082785.99998,153207923.000002,0.261410037,0.337776644054554,0.00219808393810031,40.6891630868522,0.0980119336114865,9.80119336114864,0.113041696042312
"89",9,2009,119644492399.999,8825047.20000037,1462843500.00001,1399252208.62087,256537508.665949,0.219574770964816,0.17536907308673,0.00214416479622218,29.0692506059275,NA,NA,NA
"90",9,2010,130541396199.997,8851080.00000012,1349910461.00006,1261535078.01496,270150770.548218,0.203437989788566,0.200124955212274,0.00206946438763633,30.5217861038669,0.0530653858496592,5.30653858496593,0.0499681095199358
"91",9,2011,140452469900,8864594.59999975,1577530386.99993,1335802038.25233,188772346.200157,0.180512342816301,0.119663207603345,0.00134403009313086,21.2950907196774,-0.301233360108207,-30.1233360108207,-0.302298671276663
"92",9,2012,146005119999.998,8878109.2000004,1886755764.99994,1797975958.95702,251732971.595956,0.179058077740388,0.133421069258513,0.00172413797266807,28.3543450440939,0.333526740876764,33.3526740876764,0.331496795075565
"93",9,2013,157266571399.994,8891623.79999981,1472274249.99995,1618620978.02427,241555732.63745,0.110818094904873,0.16406979381556,0.00153596362206609,27.1666613512658,-0.0404287086192311,-4.04287086192311,-0.0418871848734694
"94",9,2014,178005750800.004,8905138.40000038,2178306842.99995,1825474311.8175,286172168.465592,0.162899856765119,0.131373671888887,0.00160765687164297,32.1356227844342,0.184704520737279,18.4704520737279,0.182906591609458
"95",9,2015,195385971599.998,8918653.00000016,2590798256.99989,2034756510.78152,530793575.057513,0.238027566326167,0.204876459841441,0.00271664117290966,59.5149934701466,0.854805021409108,85.4805021409108,0.851994401022606
"96",9,2016,210844683185.01,8833416.22600015,2638403718.99995,2413051190.99997,592593362.999989,0.245578447,0.224602989577578,0.00281056820617102,67.0854115597722,0.116429042939677,11.6429042939677,0.127201863735782
"97",9,2017,218651533099.992,8811266.45299971,2844626092.99999,2568330299.99995,665263191.999998,0.259025559,0.233866656021003,0.00304257273007898,75.5014271272565,0.122630177010623,12.2630177010623,0.125452246200887
"98",9,2018,232997023499.999,8788140.62200004,3091243667.00002,3111149065.00009,745094774.999984,0.239491827,0.241033983491532,0.00319787250415234,84.7841206744838,0.119999999939853,11.9999999939853,0.122947259415129
"99",9,2019,230640525638.994,9031213.00000022,2284149065.00005,2284149065.00005,518094775.000015,0.226821788,0.226821788007957,0.0022463301866167,57.3671305283135,-0.30465922942484,-30.465922942484,-0.323374116851831
